,,,,Round 1,,,Totals,,,,,Shooting,,,Per Game,,,,Advanced,,,
Year,Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
2017,1,1,PHI,Markelle Fultz,Washington,3,80,1978,805,280,329,0.443,0.258,0.654,24.7,10.1,3.5,4.1,2.2,0.054,-2,0
2017,2,2,LAL,Lonzo Ball,UCLA,3,140,4490,1482,851,904,0.384,0.331,0.467,32.1,10.6,6.1,6.5,4.8,0.051,0.9,3.3
2017,3,3,BOS,Jayson Tatum,Duke,3,202,6343,3278,1175,418,0.454,0.387,0.84,31.4,16.2,5.8,2.1,15.8,0.12,0.4,3.8
2017,4,4,PHO,Josh Jackson,Kansas,3,158,3981,1938,704,303,0.415,0.292,0.651,25.2,12.3,4.5,1.9,-2.4,-0.029,-4.6,-2.6
2017,5,5,SAC,De'Aaron Fox,Kentucky,3,184,5512,2835,635,1124,0.446,0.337,0.716,30,15.4,3.5,6.1,7.4,0.064,-0.7,1.8
2017,6,6,ORL,Jonathan Isaac,Florida State,3,134,3481,1249,732,142,0.432,0.328,0.794,26,9.3,5.5,1.1,6.7,0.092,0.7,2.4
2017,7,7,MIN,Lauri Markkanen,Arizona,3,166,5097,2697,1276,224,0.43,0.356,0.849,30.7,16.2,7.7,1.3,8.7,0.082,-1.6,0.5
2017,8,8,NYK,Frank Ntilikina,,3,165,3532,969,359,503,0.36,0.309,0.775,21.4,5.9,2.2,3,-1.4,-0.019,-4.1,-1.9
2017,9,9,DAL,Dennis Smith,NC State,3,146,3927,1894,465,673,0.402,0.315,0.653,26.9,13,3.2,4.6,-1.3,-0.016,-2.7,-0.7
2017,10,10,SAC,Zach Collins,Gonzaga,3,146,2487,831,557,129,0.442,0.324,0.73,17,5.7,3.8,0.9,3.7,0.071,-1.4,0.4
2017,11,11,CHO,Malik Monk,Kentucky,3,182,3024,1488,325,302,0.39,0.318,0.85,16.6,8.2,1.8,1.7,0.7,0.011,-4.2,-1.6
2017,12,12,DET,Luke Kennard,Duke,3,164,3822,1613,457,353,0.441,0.402,0.863,23.3,9.8,2.8,2.2,7.1,0.089,-1.3,0.7
2017,13,13,DEN,Donovan Mitchell,Louisville,3,203,6850,4601,811,816,0.44,0.353,0.82,33.7,22.7,4,4,14.9,0.104,1.1,5.3
2017,14,14,MIA,Bam Adebayo,Kentucky,3,198,4902,1956,1466,507,0.564,0.121,0.715,24.8,9.9,7.4,2.6,17.3,0.169,2.9,6
2017,15,15,POR,Justin Jackson,UNC,3,192,3818,1289,501,201,0.435,0.328,0.781,19.9,6.7,2.6,1,4.8,0.06,-2.7,-0.7
2017,16,16,CHI,Justin Patton,Creighton,3,9,49,16,11,5,0.368,0.167,0.5,5.4,1.8,1.2,0.6,0,0.016,-4.1,0
2017,17,17,MIL,D.J. Wilson,Michigan,3,96,1188,381,284,73,0.419,0.333,0.571,12.4,4,3,0.8,2.1,0.083,-2.3,-0.1
2017,18,18,IND,T.J. Leaf,UCLA,3,133,1161,448,267,39,0.496,0.356,0.614,8.7,3.4,2,0.3,2.7,0.113,-3,-0.3
2017,19,19,ATL,John Collins,Wake Forest,3,158,4314,2402,1370,246,0.563,0.344,0.752,27.3,15.2,8.7,1.6,13.6,0.151,1.4,3.7
2017,20,20,POR,Harry Giles,Duke,2,80,1063,506,281,114,0.498,0,0.667,13.3,6.3,3.5,1.4,1.3,0.058,-2,0
2017,21,21,OKC,Terrance Ferguson,,3,171,3629,884,248,125,0.419,0.348,0.764,21.2,5.2,1.5,0.7,4.7,0.063,-1.8,0.2
2017,22,22,BRK,Jarrett Allen,Texas,3,199,4819,1995,1510,221,0.604,0.172,0.704,24.2,10,7.6,1.1,17.4,0.173,2,4.8
2017,23,23,TOR,OG Anunoby,Indiana,3,189,4233,1406,640,181,0.471,0.355,0.619,22.4,7.4,3.4,1,8.3,0.094,0.2,2.4
2017,24,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-2.6,0
2017,25,25,ORL,Anžejs Pasečņiks,,1,19,370,139,94,17,0.529,0,0.62,19.5,7.3,4.9,0.9,0.4,0.053,-3.7,-0.2
2017,26,26,POR,Caleb Swanigan,Purdue,3,59,447,122,145,32,0.394,0.133,0.625,7.6,2.1,2.5,0.5,-0.4,-0.039,-6.6,-0.5
2017,27,27,BRK,Kyle Kuzma,Utah,3,185,5665,3045,1027,358,0.45,0.335,0.733,30.6,16.5,5.6,1.9,8,0.068,-2,0
2017,28,28,LAL,Tony Bradley,UNC,3,48,437,184,177,11,0.596,0,0.629,9.1,3.8,3.7,0.2,1.8,0.201,0.1,0.2
2017,29,29,SAS,Derrick White,Colorado,3,129,2937,1164,410,419,0.474,0.37,0.789,22.8,9,3.2,3.2,6.5,0.106,0.7,2
2017,30,30,UTA,Josh Hart,Villanova,3,172,4360,1462,773,232,0.43,0.357,0.714,25.3,8.5,4.5,1.3,7.3,0.081,-0.4,1.8
2017,31,31,CHO,Frank Jackson,Duke,2,101,1695,725,184,99,0.423,0.309,0.748,16.8,7.2,1.8,1,0.3,0.009,-5.5,-1.5
2017,32,32,PHO,Davon Reed,Miami (FL),2,31,289,75,45,16,0.307,0.31,0.667,9.3,2.4,1.5,0.5,-0.2,-0.039,-6.3,-0.3
2017,33,33,ORL,Wesley Iwundu,Kansas State,3,164,2873,742,411,165,0.409,0.309,0.796,17.5,4.5,2.5,1,3.5,0.059,-2.9,-0.6
2017,34,34,SAC,Frank Mason,Kansas,3,94,1437,613,175,236,0.388,0.299,0.767,15.3,6.5,1.9,2.5,0.8,0.028,-3.8,-0.6
2017,35,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1,0.3
2017,36,36,PHI,Jonah Bolden,,2,48,653,211,166,40,0.497,0.351,0.448,13.6,4.4,3.5,0.8,1.4,0.101,0.9,0.5
2017,37,37,BOS,Semi Ojeleye,SMU,3,174,2419,514,329,67,0.388,0.329,0.657,13.9,3,1.9,0.4,3.1,0.061,-3.1,-0.7
2017,38,38,CHI,Jordan Bell,Oregon,3,150,1818,564,467,192,0.565,0.143,0.632,12.1,3.8,3.1,1.3,4.9,0.128,1.1,1.4
2017,39,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.2,-0.7
2017,40,40,NOP,Dwayne Bacon,Florida State,3,132,2116,713,301,134,0.407,0.347,0.713,16,5.4,2.3,1,0.4,0.01,-5.5,-1.9
2017,41,41,ATL,Tyler Dorsey,Oregon,2,104,1672,701,243,135,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-4.1,-0.9
2017,42,42,UTA,Thomas Bryant,Indiana,3,114,2252,1125,669,159,0.598,0.316,0.767,19.8,9.9,5.9,1.4,7.4,0.158,1.2,1.8
2017,43,43,HOU,Isaiah Hartenstein,,2,48,469,155,133,31,0.608,0.222,0.725,9.8,3.2,2.8,0.6,1.5,0.155,0.6,0.3
2017,44,44,NYK,Damyean Dotson,Oregon,3,159,3211,1246,425,214,0.422,0.36,0.722,20.2,7.8,2.7,1.3,2.9,0.044,-2.6,-0.5
2017,45,45,HOU,Dillon Brooks,Oregon,3,149,4065,1824,452,251,0.43,0.378,0.785,27.3,12.2,3,1.7,2.6,0.031,-3.1,-1.1
2017,46,46,PHI,Sterling Brown,SMU,3,145,2307,757,457,141,0.424,0.351,0.76,15.9,5.2,3.2,1,3.6,0.075,-2.6,-0.4
2017,47,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-6.8,0
2017,48,48,MIL,Sindarius Thornwell,South Carolina,2,137,1469,344,184,86,0.415,0.342,0.689,10.7,2.5,1.3,0.6,1,0.034,-2.1,0
2017,49,49,DEN,Vlatko Čančar,,1,9,16,7,3,3,0.4,0.333,1,1.8,0.8,0.3,0.3,0.1,0.206,2.3,0
2017,50,50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,
2017,51,51,DEN,Monte Morris,Iowa State,3,134,2980,1248,281,476,0.477,0.409,0.808,22.2,9.3,2.1,3.6,8.8,0.141,-0.5,1.1
2017,52,52,NOP,Edmond Sumner,Xavier,3,43,472,154,52,38,0.4,0.283,0.622,11,3.6,1.2,0.9,0.4,0.041,-2.6,-0.1
2017,53,53,BOS,Kadeem Allen,Arizona,3,46,619,252,70,107,0.429,0.349,0.761,13.5,5.5,1.5,2.3,0.9,0.071,-2.5,-0.1
2017,54,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-3.3,-0.1
2017,55,55,UTA,Nigel Williams-Goss,Gonzaga,1,9,28,4,5,5,0.143,0,1,3.1,0.4,0.6,0.6,0,-0.037,-4.2,0
2017,56,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-2.1,0
2017,57,57,BRK,Aleksandar Vezenkov,,,,,,,,,,,,,,,,,,
2017,58,58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,
2017,59,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-4.5,-0.3
2017,60,60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,